bResult,rResult,,gamelength,bBarons,rBarons
0,1,,40,[34.664],[23.407]
1,0,,31,[23.951],[]
0,1,,57,[41.835],"[33.75, 49.61]"
1,0,,28,[23.4],[]
1,0,,25,[21.808],[]
0,1,,40,[34.552],[]
0,1,,30,[23.701],[]
1,0,,43,"[39.403, 29.162]",[]
1,0,,46,[44.586],"[34.821, 24.459]"
1,0,,36,[30.766],[22.291]
1,0,,45,[37.789],[]
1,0,,31,[],[]
0,1,,37,[],"[34.224, 23.968]"
0,1,,35,[31.246],[]
0,1,,37,[],"[24.96, 32.603]"
0,1,,46,[34.498],"[41.73, 22.091]"
1,0,,34,[26.975],[]
0,1,,43,[],"[34.949, 23.45]"
1,0,,31,[27.002],[]
0,1,,35,[],"[25.507, 32.693]"
0,1,,57,[43.429],"[55.515, 33.344]"
1,0,,30,[23.002],[]
1,0,,27,[24.917],[]
1,0,,50,[41.175],[33.66]
1,0,,35,[27.243],[]
1,0,,42,[37.883],[]
1,0,,36,[],[]
0,1,,32,[],"[31.049, 22.958]"
0,1,,33,[],[23.756]
0,1,,41,[],"[38.33, 29.805]"
0,1,,40,[27.098],[35.281]
1,0,,35,"[25.583, 33.574]",[]
0,1,,41,[],[32.619]
0,1,,31,[],[28.235]
0,1,,43,[34.843],[27.537]
0,1,,35,[],[24.999]
1,0,,40,"[34.61, 23.295]",[]
0,1,,28,[],[21.595]
1,0,,44,[30.599],[38.852]
0,1,,28,[],[24.554]
1,0,,35,[32.528],[25.035]
1,0,,30,[21.231],[]
0,1,,29,[],[21.318]
1,0,,40,[38.51],[30.086]
1,0,,35,[25.93],[]
0,1,,32,[],"[30.194, 21.639]"
1,0,,25,[22.948],[]
1,0,,27,[21.92],[]
0,1,,39,[],[32.994]
0,1,,47,[],"[32.932, 42.018, 22.59]"
1,0,,27,[],[]
1,0,,38,[27.316],[]
1,0,,35,"[25.846, 32.938]",[]
1,0,,31,[23.903],[]
1,0,,47,[42.106],[30.841]
0,1,,27,[],[22.264]
1,0,,35,[32.522],[25.029]
1,0,,27,[22.719],[]
1,0,,29,[27.308],[]
0,1,,43,[27.284],[34.427]
1,0,,28,[20.639],[]
1,0,,34,[],[]
1,0,,50,[40.236],"[21.847, 29.784]"
1,0,,29,[26.586],[]
1,0,,40,[38.277],[]
0,1,,47,"[26.962, 35.817]",[45.436]
1,0,,41,"[38.19, 30.444]",[]
1,0,,47,"[27.947, 35.692, 42.993]",[]
0,1,,36,[],"[23.556, 31.277]"
